Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
27	53.49956	508.31647	502.22427	-675.4243	4.1666665	-31.583807	0.002938419	-31.571957	-31.585258	840	-2.7318796e-09	213468.23	-0.026393	-59.21875	0.8341013	-0.006795551	0.2	79.0	15447.430974006653
28	-659.69617	12.071404	-645.945	-681.0415	6.0	-32.05177	0.0017971317	-32.04836	-32.05299	870	2.2252401e-07	328815.16	-0.030398654	-2587.1562	0.8300036	-0.042266317	0.26666668	79.0	15966.403696537018
29	-13.683751	563.78174	506.5844	-690.5942	3.7142856	-34.350384	0.004194121	-34.33873	-34.35343	900	-1.9868216e-08	260681.55	-0.016416537	-466.875	0.8217538	0.016281415	0.0	12.0	16522.17988729477
30	-271.00095	539.4826	514.0654	-666.7317	4.6666665	-35.450207	0.0023747515	-35.444725	-35.45221	930	3.1789146e-08	284318.88	-0.02611443	-1154.2812	0.8216166	0.014811655	0.16666667	79.0	17096.03866791725
31	-86.72394	592.7573	511.3569	-705.36176	3.5	-37.001106	0.0043811155	-36.983185	-37.00414	960	7.947286e-09	300564.16	-0.014444985	-1222.7188	0.81346524	0.0152083775	0.1	63.0	17699.344069480896
32	-309.58566	511.5116	508.3652	-687.4266	5.0	-38.620876	0.0030132893	-38.61333	-38.62444	990	3.1789146e-08	302178.1	-0.02532571	-1175.1562	0.8247488	-0.013915372	0.13333334	79.0	18210.858507871628
33	-419.79712	449.99377	473.29224	-693.23627	5.2	-40.1991	0.0031866042	-40.190144	-40.20179	1020	-7.947286e-09	265254.16	-0.027165199	-1396.4375	0.7992057	-0.0064219097	0.26666668	79.0	18762.33598423004
34	85.11557	516.40424	506.8473	-610.9814	3.375	-41.890003	0.0025210266	-41.88446	-41.893326	1050	-8.791685e-08	240516.02	-0.023224803	-253.23438	0.7806669	0.004851272	0.0	79.0	19370.37963604927
35	60.968605	539.6423	510.94852	-651.82294	3.5	-42.678104	0.0015220566	-42.67152	-42.67912	1080	7.947286e-09	258769.98	-0.019412527	-208.98438	0.75663	0.01834375	0.033333335	7.0	19963.047815799713
36	56.416847	561.21	531.8265	-676.8211	3.375	-43.34941	0.002296084	-43.339264	-43.3509	1110	1.7881394e-08	266865.34	-0.029665703	-293.71875	0.7541159	-0.03332005	0.1	79.0	20564.451230049133
37	61.53024	521.5938	500.03726	-673.7146	4.1666665	-44.149338	0.002150939	-44.142822	-44.150963	1140	-1.2665987e-08	221618.7	-0.004713917	-21.875	0.7357083	0.015476479	0.0	47.0	21109.315704107285
38	194.35202	471.3405	504.05847	-667.2232	3.625	-44.409863	0.0027650478	-44.400345	-44.412994	1170	-2.5331975e-08	249665.75	-0.008263893	-29.828125	0.72437406	0.016189719	0.0	7.0	21753.564091920853
39	133.98788	508.31345	508.09378	-669.7716	3.7142856	-44.17013	0.002613535	-44.16281	-44.172802	1200	-1.5646219e-08	236984.22	-0.008695196	-0.421875	0.7231032	0.016289044	0.06666667	17.0	22330.188324213028
40	-60.16501	570.0666	514.7229	-671.68866	3.75	-44.188816	0.0029094587	-44.178196	-44.191372	1230	4.967054e-09	304693.2	-0.013672067	-964.59375	0.7184003	0.014750293	0.0	79.0	22919.728327035904
41	-30.997501	529.67303	502.70236	-642.61694	4.285714	-45.65998	0.0029474653	-45.64643	-45.662178	1260	-7.152558e-08	256577.61	-0.02117196	-255.28125	0.6897156	0.016297616	0.0	7.0	23467.41246175766
42	-272.7942	543.72125	503.18326	-677.73865	4.5	-46.513798	0.003155841	-46.501396	-46.51631	1290	3.1789146e-08	273364.44	-0.028465036	-1384.25	0.68775046	0.015756348	0.033333335	4.0	23995.449881076813
