Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
27	-436.97137	449.60806	461.56482	-685.41614	5.6	-32.28653	0.0010915288	-32.284603	-32.288677	840	-5.165736e-08	302029.16	-0.007270499	-1454.7812	0.7150352	0.017652899	0.0	7.0	17179.875705957413
28	144.59108	511.19455	531.12555	-697.5096	3.857143	-34.113754	0.0012157083	-34.110428	-34.115707	870	3.8246313e-08	246172.8	-0.029396238	3.78125	0.71331805	0.015047026	0.16666667	10.0	17791.906230688095
29	-262.87497	542.1398	505.17822	-652.72876	4.3333335	-34.2668	0.0013118734	-34.263287	-34.268818	900	3.973643e-09	275961.12	0.001682798	-1464.25	0.7108886	0.01525286	0.033333335	6.0	18387.806374549866
30	-454.70987	453.12997	451.0679	-708.6445	5.4	-35.998196	0.0008997347	-35.99581	-35.99963	930	-9.139379e-08	289837.03	-0.031042239	-1492.0312	0.7088401	-0.036732476	0.2	79.0	19001.053169965744
31	-683.53656	20.733961	-656.9916	-715.06195	6.0	-37.823036	0.00059575104	-37.821842	-37.824097	960	-3.973643e-07	342672.28	-0.048221294	-2652.8125	0.7170016	-0.0034893772	0.23333333	79.0	19566.185601711273
32	-17.614502	571.48004	510.13712	-683.41425	3.857143	-40.13391	0.0008876487	-40.13156	-40.135162	990	-9.934108e-09	267986.25	-0.026520677	-380.6875	0.70450085	0.016430853	0.033333335	12.0	20211.31196641922
33	203.9966	492.96832	505.97913	-722.7137	3.3333333	-41.100277	0.00062115723	-41.099247	-41.101135	1020	-3.576279e-08	273710.62	-0.03105957	-5.1875	0.70298636	0.020124955	0.033333335	6.0	20888.21158671379
34	-435.62842	433.30545	429.77502	-685.2244	5.6	-41.035908	0.0007546621	-41.03455	-41.03725	1050	1.013279e-07	290604.0	-0.030096047	-1125.875	0.70265657	0.015297893	0.23333333	41.0	21468.450454473495
35	-109.920525	549.7569	498.31412	-670.4118	4.6666665	-42.48234	0.00060215854	-42.481236	-42.483135	1080	-1.3609727e-07	255789.78	-0.007471038	-312.20312	0.69760764	0.0005447467	0.0	79.0	22081.057911157608
36	-65.65882	585.1176	567.3859	-700.0039	3.75	-43.34835	0.00054633647	-43.347157	-43.349148	1110	4.967054e-09	316839.72	-0.012257431	-917.71875	0.6927916	0.015166626	0.033333335	14.0	22724.727060079575
37	-452.4472	435.94962	419.22018	-688.6556	5.6	-44.71742	0.0005969532	-44.716244	-44.71844	1140	1.9868216e-08	284833.72	-0.037116077	-1252.0	0.69163394	0.009391906	0.4	79.0	23337.251194000244
38	44.825684	555.7875	518.50836	-687.3636	3.75	-46.336964	0.0004777848	-46.336124	-46.33799	1170	3.973643e-08	292663.38	-0.02541356	-192.6875	0.6920974	0.01574251	0.13333334	18.0	23965.257063627243
39	-171.99504	582.73944	509.08887	-702.89166	4.0	-47.041317	0.0005233523	-47.039997	-47.0422	1200	-8.145968e-08	306186.6	-0.011179203	-1165.6875	0.6912377	-0.006463809	0.033333335	79.0	24577.441982269287
40	378.96188	332.4198	518.3084	-659.27637	2.6363637	-48.56959	0.00044527068	-48.5685	-48.570343	1230	4.3710074e-08	256867.23	-0.024164164	-455.32812	0.6924686	0.009929852	0.16666667	79.0	25286.587629556656
41	-244.40146	552.49524	485.40604	-751.3813	5.0	-47.7219	0.00049059535	-47.721207	-47.722656	1260	2.582868e-08	253814.75	-0.011156199	-406.07812	0.65316945	0.011653636	0.033333335	79.0	25866.759870052338
42	-132.88895	550.7683	491.11548	-728.25055	4.8333335	-48.547432	0.00031615072	-48.546753	-48.548096	1290	1.291434e-08	270150.16	-0.02396201	-260.78125	0.64291686	0.016628148	0.033333335	7.0	26494.842578411102
43	-442.71494	475.60806	508.3412	-688.05597	5.0	-49.32977	0.00045976308	-49.328995	-49.33042	1320	-1.9073487e-07	266339.2	-0.01589158	-1591.125	0.6421253	0.017035322	0.13333334	8.0	27089.928404808044
44	159.4178	501.59506	503.26608	-720.0553	3.5	-51.138103	0.00031142277	-51.1373	-51.13867	1350	2.2848447e-08	252950.05	-0.023491958	5.71875	0.64082795	0.020626128	0.033333335	4.0	27717.393958568573
45	55.83455	555.66266	504.43866	-675.9077	3.375	-51.268932	0.0003812993	-51.268173	-51.26957	1380	-2.3841858e-08	268969.9	-0.031739384	-244.71875	0.6401575	0.015995953	0.033333335	18.0	28392.982652664185
46	186.89456	492.78403	512.2247	-682.2276	3.125	-51.969543	0.00041978832	-51.96887	-51.970238	1410	1.4776985e-08	226787.2	-0.015993407	-12.78125	0.6285667	0.017207598	0.0	12.0	29036.674875974655
47	-84.39064	582.3349	562.641	-694.397	4.1666665	-52.185482	0.00033698484	-52.184963	-52.186054	1440	1.5894573e-08	246736.03	-0.0038723806	-449.79688	0.6215827	0.017238833	0.033333335	4.0	29632.2930662632
48	-10.301478	570.67487	569.18604	-696.4316	4.142857	-53.17964	0.00030183553	-53.17905	-53.18031	1470	-2.9802323e-09	281630.16	-0.020904288	-194.96875	0.6199226	-0.01900458	0.06666667	79.0	30260.683564901352
49	-127.02541	555.6136	504.58963	-692.8679	4.5	-53.90141	0.00029369042	-53.900948	-53.901905	1500	-1.6887983e-08	250554.81	-0.014308501	-361.09375	0.58901685	0.0072781392	0.033333335	79.0	30857.073298215866
50	86.74588	545.43146	513.62646	-696.9644	3.2222223	-54.84538	0.00028268597	-54.844784	-54.84589	1530	5.4637592e-08	277834.75	-0.028453447	-255.71875	0.5634662	0.0026867578	0.16666667	79.0	31549.858872413635
51	47.81075	482.35233	434.27704	-654.19543	4.8333335	-55.672997	0.00030975873	-55.67221	-55.673466	1560	-2.6884178e-08	229190.31	-0.013236839	-4.390625	0.57018685	-0.011752233	0.06666667	79.0	32163.149820804596
52	-273.21927	525.7886	519.15204	-675.3928	5.0	-55.605083	0.0002973931	-55.604656	-55.60555	1590	-1.5894573e-08	276445.3	-0.02238773	-1041.875	0.5924339	0.008670253	0.1	79.0	32759.060597658157
53	123.04853	551.3641	549.18616	-685.82227	3.1111112	-57.177658	0.00027985947	-57.177124	-57.178246	1620	2.0861625e-08	283820.84	-0.029513856	-251.125	0.5886991	-0.011235404	0.033333335	79.0	33419.80924868584
